annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;numero_jokerplus;devise;
2018003;VENDREDI;14/09/2018;14/11/2018;22;45;19;4;30;7;4-19-22-30-45+7;1;13000000;0;150000;85;2000;496;1000;3072;100;20892;50;41183;20;289796;10;543652;3;50;20000;U 7213 8845,U 6437 2651,S 3064 6211,F 0229 2777,J 5460 6636,U 9452 1126,P 4976 4614,K 3008 8110,K 8613 8932,P 9338 2400,U 2281 7722,V 5158 3862,K 2230 4712,E 5593 5800,U 0479 4048,Q 7888 2840,Q 5011 6701,U 1204 0158,F 1324 1620,V 4033 4083,A 2067 0578,L 8655 8447,V 0788 3556,L 0612 8232,U 1228 7644,S 8490 1175,F 1889 2480,U 8194 4776,S 4959 5531,R 9414 9855,S 7848 1551,R 4028 5863,I 5586 4279,N 5313 5554,V 8321 0431,F 9997 4436,M 6651 2132,K 3784 8359,J 3359 4085,V 7352 2702,C 3175 2410,A 0170 5566,B 2881 0405,K 9193 5142,V 8308 4799,H 1146 4833,U 3465 9502,J 9617 6581,D 7649 9365,P 1461 0853;3 290 399;eur;
2018002;VENDREDI;13/07/2018;12/09/2018;49;44;12;13;21;10;12-13-21-44-49+10;0;13000000;2;150000;85;2000;1050;1000;4715;100;49718;50;65402;20;708925;10;770519;3;50;20000;O 1508 5131,H 6656 8255,K 1635 0860,F 5062 6578,I 0773 0203,P 8674 8195,A 6389 8564,G 5311 0934,M 8456 9470,B 4441 9609,E 6928 8873,Q 1181 1676,I 3870 3485,S 5191 9821,A 5854 1299,E 2030 2077,B 1629 6148,H 6527 5115,K 9096 0877,P 6354 4315,J 9393 8403,J 8619 7927,I 5450 6183,O 7751 9977,R 7545 9347,V 8287 1738,F 9677 9265,R 7140 7718,A 1850 9556,A 5389 8393,M 5754 1002,F 6050 3180,H 3597 5901,S 1896 8632,S 3763 6670,V 5583 0580,S 8746 8983,O 9978 4909,C 6254 4927,L 3837 5699,Q 5306 1553,D 6082 2961,B 5057 7092,H 7411 1158,K 9775 1335,Q 0151 9273,T 6798 1394,L 2910 4064,K 5583 0959,L 6597 1281;4 104 502;eur;
2018001;VENDREDI;13/04/2018;13/06/2018;21;23;38;44;30;9;21-23-30-38-44+9;0;13000000;6;150000;109;2000;1018;1000;5241;100;46430;50;75565;20;675296;10;1068083;3;50;20000;J 3856 6258,J 9073 5996,T 8346 6639,L 0236 8953,P 9484 2450,I 4637 8182,N 1196 0752,K 7748 0522,V 1796 2692,H 2033 1324,H 7325 3441,U 2956 4559,S 5973 2933,E 7645 9925,U 5361 6561,N 3824 2949,T 4763 2228,S 5254 3784,O 3969 3229,V 5566 9604,Q 6822 3134,J 4394 0560,P 7538 9230,V 3517 7258,F 6147 2073,B 5557 1298,B 7845 7768,H 5679 4930,M 8511 7434,H 8476 0787,O 9174 2192,J 7928 6859,V 5197 3585,E 6032 1797,N 0180 2245,R 0065 2009,U 4490 1154,E 0172 7232,K 7462 7722,P 1256 7212,C 3503 4721,A 0342 3599,P 1487 8421,A 9726 2713,Q 0691 0550,B 8151 2121,M 8291 0292,G 2608 2717,K 6085 4410,U 8060 5375;6 102 129;eur;
2017001;VENDREDI;13/10/2017;13/12/2017;21;39;8;40;37;7;8-21-37-39-40+7;0;13000000;8;150000;152;2000;992;1000;5680;100;43706;50;87170;20;650249;10;1405128;3;50;20000;Q 9022 9093,I 7575 4477,V 8240 1557,M 5246 4807,P 2631 7435,M 7825 9747,Q 8279 0516,T 2395 8890,V 5700 2862,L 7899 8484,F 8561 5421,U 5092 0299,V 8230 4212,O 3435 8367,T 9024 8505,R 4169 1758,S 5543 6896,U 4636 4272,B 5746 2741,I 2831 6903,F 6815 1549,A 1520 0775,M 0261 5554,N 8980 6462,S 8930 8894,D 6661 5621,V 5331 2637,S 3907 0092,N 2256 5125,I 7339 9323,K 8950 6790,M 8803 5490,Q 5099 6506,V 0128 6998,H 4721 2905,C 2255 2842,A 3040 8994,C 4912 8367,R 6206 4390,S 1473 6593,R 5031 2023,R 2989 0739,R 9350 3801,Q 4293 0497,O 5804 4800,D 3955 8748,C 9389 6938,C 8182 1935,J 3873 6957,E 4446 9447;1 461 214;eur;
