annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;boule_1_second_tirage;boule_2_second_tirage;boule_3_second_tirage;boule_4_second_tirage;boule_5_second_tirage;promotion_second_tirage;combinaison_gagnant_second_tirage_en_ordre_croissant;nombre_de_gagnant_au_rang_1_second_tirage;rapport_du_rang1_second_tirage;nombre_de_gagnant_au_rang_2_second_tirage;rapport_du_rang2_second_tirage;nombre_de_gagnant_au_rang_3_second_tirage;rapport_du_rang3_second_tirage;nombre_de_gagnant_au_rang_4_second_tirage;rapport_du_rang4_second_tirage;numero_jokerplus;devise;
20222142;SAMEDI  ;26/11/2022;26/01/2023;5;7;28;23;2;5;2-5-7-23-28+5;0;21000000;9;32423;188;378,8;1284;200;6238;24,6;43877;12,5;66938;6,4;493949;3,4;637942;2,2;10;20000;N 9752 2067,Q 5100 8204,F 8309 3861,I 9813 3298,I 3821 5280,P 9643 4902,K 5934 2468,G 9841 1973,F 3541 8423,K 4253 7419;1;26;39;43;49;;1-26-39-43-49;3;65776;286;797,8;13787;42,5;209891;3;3 492 887;eur;
20222141;MERCREDI;23/11/2022;23/01/2023;46;36;45;15;19;4;15-19-36-45-46+4;0;20000000;3;71798,9;23;2285,7;283;670;1573;72;14690;27,7;26146;12,1;241802;5,1;426113;2,2;10;20000;R 3678 2733,P 5198 7574,I 2682 1646,U 8999 5889,S 2587 1784,M 0606 6697,U 6122 1261,L 9251 6922,B 1825 0712,D 8778 8096;1;3;26;31;35;;1-3-26-31-35;4;35620;204;745,7;11013;35,5;166559;3;4 870 521;eur;
20222140;LUNDI   ;21/11/2022;21/01/2023;45;33;47;15;23;7;15-23-33-45-47+7;0;19000000;3;55270;67;604;348;419,4;2361;36,9;15438;20,3;34199;7,1;223040;4,3;511191;2,2;10;20000;N 8246 3523,K 6563 1684,T 8011 0216,U 6895 7566,F 8378 5667,N 1848 2169,N 8588 3296,D 4496 7576,J 8498 5152,H 1479 3072;9;18;35;39;41;;9-18-35-39-41;1;127562;200;729,2;9002;41,6;137668;3;3 559 519;eur;
20222139;SAMEDI  ;19/11/2022;19/01/2023;40;24;19;1;28;8;1-19-24-28-40+8;0;18000000;2;147425;68;1058,3;648;400,5;3304;46,9;28166;19,8;46503;9,3;405223;4,2;606224;2,2;10;20000;I 0325 3935,F 2221 8126,U 5913 3981,K 3945 4535,A 5123 1007,M 9464 9648,Q 3029 0110,U 3648 3257,M 3873 3773,U 0132 2450;17;23;28;38;44;;17-23-28-38-44;0;197603;483;410,6;18472;27,6;246060;3;9 501 527;eur;
20222138;MERCREDI;16/11/2022;16/01/2023;1;8;48;38;3;1;1-3-8-38-48+1;0;17000000;2;115634,4;44;1282,8;392;519,3;1807;67,3;19626;22,3;26009;13;280764;4,8;325342;2,2;10;20000;S 4063 9399,S 4688 9898,G 2924 6377,U 1921 0650,A 6202 9233,C 1220 2201,T 4997 9224,R 5162 8478,P 5085 7371,K 6759 2555;19;30;32;41;45;;19-30-32-41-45;1;142668;223;754,7;9320;46,4;147766;3;0 535 652;eur;
20222137;LUNDI   ;14/11/2022;14/01/2023;28;23;34;44;14;5;14-23-28-34-44+5;0;16000000;2;91355,8;47;948,8;380;423,2;2305;41,6;17971;19,2;30898;8,7;242413;4,3;429429;2,2;10;20000;N 1496 1924,D 3069 8129,U 5088 8229,F 7709 7648,B 5231 0085,E 8580 0326,U 9704 8232,N 4834 8886,Q 6768 5927,N 4839 9339;20;28;38;41;47;;20-28-38-41-47;0;129984;203;757,8;8665;45,6;134059;3;4 299 685;eur;
20222136;SAMEDI  ;12/11/2022;12/01/2023;14;44;34;25;4;7;4-14-25-34-44+7;0;15000000;4;64171,1;199;314,8;1095;206,3;3600;37,5;24822;19,5;53502;7;353024;4,2;773607;2,2;10;20000;T 9210 4667,A 0140 9879,B 7563 5990,D 6003 7082,P 1401 8389,D 1623 3180,F 6477 3999,O 0432 2908,O 1179 0388,I 0570 6314;1;20;24;33;46;;1-20-24-33-46;3;64897;274;778,4;14311;38,3;221172;3;6 052 965;eur;
20222135;MERCREDI;09/11/2022;09/01/2023;15;2;1;41;30;9;1-2-15-30-41+9;0;14000000;0;217982,8;44;6163,3;358;536;2150;53,3;17820;23,1;31217;10,2;275961;4,6;439972;2,2;10;20000;E 5364 0733,Q 1031 9269,I 7036 2865,F 0857 7541,C 5799 1176,V 0888 9135,H 8983 1942,P 7583 7461,Q 6989 2138,R 9806 1658;2;3;7;19;45;;2-3-7-19-45;1;146697;351;361,8;15907;20,5;206766;3;1 509 553;eur;
20222134;LUNDI   ;07/11/2022;07/01/2023;24;8;9;40;31;7;8-9-24-31-40+7;0;13000000;0;164047,1;37;5515,8;334;432,3;2435;35,4;17185;18;36822;6,5;245609;3,8;501061;2,2;10;20000;F 6168 0496,U 1644 0100,H 9048 9646,B 5751 8842,F 7318 6664,T 2912 3544,E 1394 1155,S 4672 3263,L 4445 0760,Q 2143 3803;25;26;41;43;49;;25-26-41-43-49;0;128693;179;849,7;8522;45,8;132972;3;5 712 978;eur;
20222133;SAMEDI  ;05/11/2022;05/01/2023;40;6;38;23;32;10;6-23-32-38-40+10;0;12000000;0;301405,5;42;8927,8;492;539,3;2131;74,4;22326;25,5;30894;14,3;330863;5,3;468882;2,2;10;20000;T 3754 7493,E 5535 6949,I 9256 6178,F 1286 0506,G 4961 8104,C 8889 1914,F 8833 4651,D 2954 4566,D 8257 3094,W 3496 7664;9;13;14;29;35;;9-13-14-29-35;3;63943;359;486,9;18257;24,6;259985;3;6 975 160;eur;
